2020-01-09 17:17:43.352  INFO 25702 --- [Thread-17] o.s.c.n.e.server.EurekaServerBootstrap   : isAws returned false
2020-01-09 17:17:43.352  INFO 25702 --- [Thread-17] o.s.c.n.e.server.EurekaServerBootstrap   : Initialized server context
2020-01-09 17:17:43.352  INFO 25702 --- [Thread-17] c.n.e.r.PeerAwareInstanceRegistryImpl    : Got 1 instances from neighboring DS node
2020-01-09 17:17:43.353  INFO 25702 --- [Thread-17] c.n.e.r.PeerAwareInstanceRegistryImpl    : Renew threshold is: 1
2020-01-09 17:17:43.353  INFO 25702 --- [Thread-17] c.n.e.r.PeerAwareInstanceRegistryImpl    : Changing status to UP
2020-01-09 17:17:43.359  INFO 25702 --- [Thread-17] e.s.EurekaServerInitializerConfiguration : Started Eureka Server
2020-01-09 17:17:43.371  INFO 25702 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8761 (http) with context path ''
2020-01-09 17:17:43.372  INFO 25702 --- [main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8761
2020-01-09 17:17:43.375  INFO 25702 --- [main] s.p.f.r.FleetRegistryServerApplication   : Started FleetRegistryServerApplication in 3.617 seconds (JVM running for 4.075)
2020-01-09 17:18:43.354  INFO 25702 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-01-09 17:19:43.353  INFO 25702 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-01-09 17:20:43.353  INFO 25702 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-01-09 17:21:43.353  INFO 25702 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-01-09 17:22:31.959  INFO 25702 --- [SpringContextShutdownHook] o.s.c.n.e.s.EurekaServiceRegistry        : Unregistering application REGISTRY with eureka with status DOWN
2020-01-09 17:22:31.961  INFO 25702 --- [SpringContextShutdownHook] c.n.eureka.DefaultEurekaServerContext    : Shutting down ...
2020-01-09 17:22:31.962  INFO 25702 --- [SpringContextShutdownHook] c.n.eureka.DefaultEurekaServerContext    : Shut down
2020-01-09 17:22:31.964  INFO 25702 --- [SpringContextShutdownHook] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2020-01-09 17:22:31.967  INFO 25702 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : Shutting down DiscoveryClient ...
2020-01-09 17:22:31.967  INFO 25702 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : Completed shut down of DiscoveryClient
