2020-01-09 18:03:12.945  INFO 28042 --- [Thread-17] o.s.c.n.e.server.EurekaServerBootstrap   : isAws returned false
2020-01-09 18:03:12.945  INFO 28042 --- [Thread-17] o.s.c.n.e.server.EurekaServerBootstrap   : Initialized server context
2020-01-09 18:03:12.945  INFO 28042 --- [Thread-17] c.n.e.r.PeerAwareInstanceRegistryImpl    : Got 1 instances from neighboring DS node
2020-01-09 18:03:12.945  INFO 28042 --- [Thread-17] c.n.e.r.PeerAwareInstanceRegistryImpl    : Renew threshold is: 1
2020-01-09 18:03:12.946  INFO 28042 --- [Thread-17] c.n.e.r.PeerAwareInstanceRegistryImpl    : Changing status to UP
2020-01-09 18:03:12.952  INFO 28042 --- [Thread-17] e.s.EurekaServerInitializerConfiguration : Started Eureka Server
2020-01-09 18:03:12.963  INFO 28042 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8761 (http) with context path ''
2020-01-09 18:03:12.964  INFO 28042 --- [main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8761
2020-01-09 18:03:12.967  INFO 28042 --- [main] s.p.f.r.FleetRegistryServerApplication   : Started FleetRegistryServerApplication in 3.824 seconds (JVM running for 4.272)
2020-01-09 18:03:46.636  INFO 28042 --- [http-nio-8761-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-01-09 18:03:46.636  INFO 28042 --- [http-nio-8761-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2020-01-09 18:03:46.641  INFO 28042 --- [http-nio-8761-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 5 ms
2020-01-09 18:03:46.749  INFO 28042 --- [http-nio-8761-exec-2] c.n.e.registry.AbstractInstanceRegistry  : Registered instance GATEWAY/192.168.10.67:gateway:8085 with status UP (replication=false)
2020-01-09 18:03:47.360  INFO 28042 --- [http-nio-8761-exec-3] c.n.e.registry.AbstractInstanceRegistry  : Registered instance GATEWAY/192.168.10.67:gateway:8085 with status UP (replication=true)
2020-01-09 18:04:02.286  INFO 28042 --- [http-nio-8761-exec-5] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TRACKER/192.168.10.67:tracker:8082 with status UP (replication=false)
2020-01-09 18:04:02.809  INFO 28042 --- [http-nio-8761-exec-6] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TRACKER/192.168.10.67:tracker:8082 with status UP (replication=true)
2020-01-09 18:04:12.946  INFO 28042 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-01-09 18:04:24.933  INFO 28042 --- [http-nio-8761-exec-3] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TRACKER/192.168.10.67:tracker:8082 with status DOWN (replication=false)
2020-01-09 18:04:24.942  INFO 28042 --- [http-nio-8761-exec-4] c.n.e.registry.AbstractInstanceRegistry  : Cancelled instance TRACKER/192.168.10.67:tracker:8082 (replication=false)
2020-01-09 18:04:25.446  INFO 28042 --- [http-nio-8761-exec-6] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TRACKER/192.168.10.67:tracker:8082 with status DOWN (replication=true)
2020-01-09 18:04:25.447  INFO 28042 --- [http-nio-8761-exec-6] c.n.e.registry.AbstractInstanceRegistry  : Cancelled instance TRACKER/192.168.10.67:tracker:8082 (replication=true)
2020-01-09 18:04:30.706  INFO 28042 --- [http-nio-8761-exec-8] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TRACKERS/192.168.10.67:trackers with status UP (replication=false)
2020-01-09 18:04:31.231  INFO 28042 --- [http-nio-8761-exec-9] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TRACKERS/192.168.10.67:trackers with status UP (replication=true)
2020-01-09 18:05:12.946  INFO 28042 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-01-09 18:06:12.946  INFO 28042 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
