2020-01-09 17:16:25.102  INFO 25372 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 2 endpoint(s) beneath base path '/actuator'
2020-01-09 17:16:25.129  INFO 25372 --- [main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application REGISTRY with eureka with status UP
2020-01-09 17:16:25.131  INFO 25372 --- [Thread-17] o.s.c.n.e.server.EurekaServerBootstrap   : Setting the eureka configuration..
2020-01-09 17:16:25.132  INFO 25372 --- [Thread-17] o.s.c.n.e.server.EurekaServerBootstrap   : Eureka data center value eureka.datacenter is not set, defaulting to default
2020-01-09 17:16:25.132  INFO 25372 --- [Thread-17] o.s.c.n.e.server.EurekaServerBootstrap   : Eureka environment value eureka.environment is not set, defaulting to test
2020-01-09 17:16:25.140  INFO 25372 --- [Thread-17] o.s.c.n.e.server.EurekaServerBootstrap   : isAws returned false
2020-01-09 17:16:25.141  INFO 25372 --- [Thread-17] o.s.c.n.e.server.EurekaServerBootstrap   : Initialized server context
2020-01-09 17:16:25.141  INFO 25372 --- [Thread-17] c.n.e.r.PeerAwareInstanceRegistryImpl    : Got 1 instances from neighboring DS node
2020-01-09 17:16:25.141  INFO 25372 --- [Thread-17] c.n.e.r.PeerAwareInstanceRegistryImpl    : Renew threshold is: 1
2020-01-09 17:16:25.142  INFO 25372 --- [Thread-17] c.n.e.r.PeerAwareInstanceRegistryImpl    : Changing status to UP
2020-01-09 17:16:25.150  INFO 25372 --- [Thread-17] e.s.EurekaServerInitializerConfiguration : Started Eureka Server
2020-01-09 17:16:25.158  INFO 25372 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8761 (http) with context path ''
2020-01-09 17:16:25.159  INFO 25372 --- [main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8761
2020-01-09 17:16:25.161  INFO 25372 --- [main] s.p.f.r.FleetRegistryServerApplication   : Started FleetRegistryServerApplication in 3.703 seconds (JVM running for 4.183)
2020-01-09 17:16:59.769  INFO 25372 --- [SpringContextShutdownHook] o.s.c.n.e.s.EurekaServiceRegistry        : Unregistering application REGISTRY with eureka with status DOWN
2020-01-09 17:16:59.771  INFO 25372 --- [SpringContextShutdownHook] c.n.eureka.DefaultEurekaServerContext    : Shutting down ...
2020-01-09 17:16:59.772  INFO 25372 --- [SpringContextShutdownHook] c.n.eureka.DefaultEurekaServerContext    : Shut down
2020-01-09 17:16:59.775  INFO 25372 --- [SpringContextShutdownHook] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2020-01-09 17:16:59.778  INFO 25372 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : Shutting down DiscoveryClient ...
2020-01-09 17:16:59.778  INFO 25372 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : Completed shut down of DiscoveryClient
